,latitude,longitude
0,37.69988676515474,-122.46175284131836
1,37.70226794276542,-122.45979610053978
2,37.697903407588264,-122.45642348475751
3,37.70216996726813,-122.46179360699
4,37.70572371879567,-122.45833387125697
5,37.69962669245745,-122.45818267390241
6,37.698977567775266,-122.45714668687903
7,37.70076752204563,-122.45848663174543
8,37.69955898577345,-122.45987656463541
9,37.70113389956763,-122.46090201809594
10,37.64739171002488,-122.44144617795594
11,37.650666747778864,-122.43783233320544
12,37.64846481267218,-122.44121475178214
13,37.649952318866816,-122.43755042634466
14,37.64876225835165,-122.44214147417483
15,37.650065813414365,-122.4404574443517
16,37.65041866166029,-122.44025206073294
17,37.64967864094054,-122.43892679709552
18,37.64773349799187,-122.43987186584357
19,37.64855595403556,-122.43841731404652
20,37.85141360025953,-122.4155563449204
21,37.848492793623194,-122.41514115284215
22,37.8495300340156,-122.41461263988114
23,37.84869216308277,-122.41592947615746
24,37.84735353407417,-122.41392563556352
25,37.85001262343065,-122.41326334927741
26,37.84721693734216,-122.41588440816393
27,37.851902180117264,-122.41381789400428
28,37.84959653527932,-122.41203920787223
29,37.851535564459525,-122.41822027470425
30,37.74859515189023,-122.38814344526354
31,37.751294999495535,-122.39339249059884
32,37.74774894219338,-122.39078849486182
33,37.748508796280746,-122.39415451309144
34,37.75284521826388,-122.389868462119
35,37.75027487681801,-122.39264299210191
36,37.74914263642092,-122.39232139503255
37,37.7478110813579,-122.3881191363521
38,37.74996649256282,-122.39203348083551
39,37.74699985228125,-122.38777884942414
